season,team,seed,adj_offense,adj_defense,tempo,sos,net_rating,q1_wins,q2_wins,q3_losses,q4_losses,recent_form,injuries_impact,fg3_pct,tov_pct,orb_pct,drb_pct,ft_rate,ast_rate,stl_rate,blk_rate,three_rate,opp_three_rate,opp_fg3_pct,opp_ft_rate
2021,Cincinnati,4,102.095608,95.7153,71.302174,15.560915,12.343583,6,5,0,0,0.54649,0,0.311069,0.204884,0.294471,0.705529,0.330097,0.607774,0.094515,0.05305,0.391337,0.389841,0.335574,0.33196
2021,Clemson,2,106.214876,93.044902,65.197826,17.289981,19.623822,11,4,0,0,0.599967,0,0.345946,0.194725,0.263648,0.736352,0.235759,0.563771,0.093361,0.044013,0.439082,0.364594,0.340017,0.308714
2021,Cleveland St,8,105.106049,105.022362,69.188462,5.202024,5.143183,1,1,2,0,0.657417,0,0.319231,0.185669,0.306593,0.693407,0.319683,0.530702,0.101173,0.036133,0.343461,0.390088,0.353694,0.307561
2021,CO Christian,14,86.423533,117.337151,73.125,4.677738,-17.124911,0,0,0,0,0.005344,0,0.25,0.150427,0.15,0.85,0.254237,0.26087,0.054701,0.013675,0.338983,0.432432,0.376894,0.312039
2021,Coastal,5,110.475352,106.711866,72.247826,-0.03973,10.653095,0,4,1,0,0.599717,0,0.36136,0.207017,0.314428,0.685572,0.318534,0.546012,0.11735,0.057772,0.393939,0.398509,0.321761,0.307662
2021,Coastal GA,14,84.114437,116.655386,81.1875,1.022004,-22.77754,0,0,2,0,0.02102,0,0.285714,0.252502,0.307692,0.692308,0.375,0.404255,0.08622,0.018476,0.408333,0.397159,0.321136,0.320792
2021,Coe,9,91.118803,100.198342,67.95,8.053091,1.25295,0,0,0,0,0.055604,0,0.296296,0.206034,0.15,0.85,0.035714,0.68,0.147167,0.029433,0.482143,0.391513,0.325175,0.258727
2021,Col St Pueblo,6,111.594021,115.569852,73.075,17.779506,8.977914,0,0,0,0,0.041721,0,0.37931,0.164215,0.323529,0.676471,0.265625,0.518519,0.054738,0.041054,0.453125,0.43635,0.360281,0.345859
2021,Colgate,2,121.179483,99.495642,72.776667,7.290622,22.255417,0,13,0,0,0.864166,0,0.4,0.138323,0.244966,0.755034,0.310454,0.561441,0.098933,0.04855,0.359029,0.369324,0.331329,0.290146
2021,Coll Idaho,13,84.82652,110.753215,73.525,11.536207,-10.26585,0,0,1,0,0.009759,0,0.318182,0.255695,0.328042,0.671958,0.25,0.543689,0.059844,0.038082,0.44,0.379785,0.337055,0.320859
