slot,round_order,round_name,region,team_a,team_b,p_team_a,p_team_b,team_a_win_rate,is_locked,team_b_win_rate,winner
R3_MIDWEST_1,3,Sweet 16,MIDWEST,Howard,Akron,0.5871441880874002,0.4128558119125998,0.5,False,0.5,Howard
R3_MIDWEST_1,3,Sweet 16,MIDWEST,Howard,Alabama,0.20125458852524836,0.7987454114747516,0.8571428571428571,False,0.1428571428571429,Howard
R3_MIDWEST_1,3,Sweet 16,MIDWEST,Howard,Hofstra,0.34019781588822684,0.6598021841117732,0.6,False,0.4,Howard
R3_MIDWEST_1,3,Sweet 16,MIDWEST,Howard,Texas Tech,0.10335543552413891,0.896644564475861,0.9107142857142857,False,0.0892857142857143,Howard
R3_MIDWEST_1,3,Sweet 16,MIDWEST,Michigan,Akron,0.902412047085769,0.09758795291423095,0.9090909090909091,False,0.09090909090909094,Michigan
R3_MIDWEST_1,3,Sweet 16,MIDWEST,Michigan,Alabama,0.6209714598284586,0.3790285401715414,0.4009009009009009,False,0.5990990990990991,Alabama
R3_MIDWEST_1,3,Sweet 16,MIDWEST,Michigan,Hofstra,0.7702515883951656,0.2297484116048344,0.7453703703703703,False,0.25462962962962965,Michigan
R3_MIDWEST_1,3,Sweet 16,MIDWEST,Michigan,Texas Tech,0.4284101898184723,0.5715898101815278,0.567769477054429,False,0.43223052294557096,Michigan
R3_MIDWEST_1,3,Sweet 16,MIDWEST,Saint Louis,Akron,0.6498140803067078,0.35018591969329216,0.6,False,0.4,Saint Louis
R3_MIDWEST_1,3,Sweet 16,MIDWEST,Saint Louis,Alabama,0.24741972499925416,0.7525802750007459,0.734375,False,0.265625,Saint Louis
R3_MIDWEST_1,3,Sweet 16,MIDWEST,Saint Louis,Hofstra,0.402186541831575,0.597813458168425,0.75,False,0.25,Saint Louis
R3_MIDWEST_1,3,Sweet 16,MIDWEST,Saint Louis,Texas Tech,0.13073955254258524,0.8692604474574148,0.9,False,0.09999999999999998,Saint Louis
R3_MIDWEST_1,3,Sweet 16,MIDWEST,UMBC,Akron,0.4986561137174898,0.5013438862825101,1.0,False,0.0,UMBC
R3_MIDWEST_1,3,Sweet 16,MIDWEST,UMBC,Alabama,0.1498192864976962,0.8501807135023038,1.0,False,0.0,UMBC
R3_MIDWEST_1,3,Sweet 16,MIDWEST,UMBC,Hofstra,0.26503511728085544,0.7349648827191446,1.0,False,0.0,UMBC
R3_MIDWEST_1,3,Sweet 16,MIDWEST,UMBC,Texas Tech,0.07460361322683036,0.9253963867731696,0.875,False,0.125,UMBC
R3_MIDWEST_2,3,Sweet 16,MIDWEST,Miami OH,Iowa State,0.687117403215345,0.3128825967846549,0.6601941747572816,False,0.3398058252427184,Miami OH
R3_MIDWEST_2,3,Sweet 16,MIDWEST,Miami OH,Kentucky,0.2609858472869965,0.7390141527130035,0.7406143344709898,False,0.2593856655290102,Miami OH
R3_MIDWEST_2,3,Sweet 16,MIDWEST,Miami OH,Santa Clara,0.673585807244278,0.32641419275572203,0.6829268292682927,False,0.31707317073170727,Miami OH
R3_MIDWEST_2,3,Sweet 16,MIDWEST,Miami OH,Tennessee St,0.7693716769628945,0.23062832303710545,0.7547169811320755,False,0.24528301886792447,Miami OH
R3_MIDWEST_2,3,Sweet 16,MIDWEST,SMU,Iowa State,0.5898057867152018,0.41019421328479816,0.5476190476190477,False,0.45238095238095233,SMU
R3_MIDWEST_2,3,Sweet 16,MIDWEST,SMU,Kentucky,0.18780054704212124,0.8121994529578788,0.7869415807560137,False,0.21305841924398627,SMU
R3_MIDWEST_2,3,Sweet 16,MIDWEST,SMU,Santa Clara,0.5746707557702808,0.4253292442297192,0.52,False,0.48,SMU
R3_MIDWEST_2,3,Sweet 16,MIDWEST,SMU,Tennessee St,0.6859499253293584,0.3140500746706416,0.85,False,0.15000000000000002,SMU
R3_MIDWEST_2,3,Sweet 16,MIDWEST,Tennessee,Iowa State,0.6943533991116726,0.3056466008883274,0.6629213483146067,False,0.3370786516853933,Tennessee
R3_MIDWEST_2,3,Sweet 16,MIDWEST,Tennessee,Kentucky,0.26757196832198277,0.7324280316780172,0.7367563162184189,False,0.26324368378158114,Tennessee
R3_MIDWEST_2,3,Sweet 16,MIDWEST,Tennessee,Santa Clara,0.6809894551979435,0.3190105448020565,0.6142857142857143,False,0.3857142857142857,Tennessee
R3_MIDWEST_2,3,Sweet 16,MIDWEST,Tennessee,Tennessee St,0.7753273947297872,0.2246726052702127,0.8367346938775511,False,0.16326530612244894,Tennessee
R3_MIDWEST_2,3,Sweet 16,MIDWEST,Virginia,Iowa State,0.6436540325734259,0.3563459674265741,0.6929824561403509,False,0.3070175438596491,Virginia
R3_MIDWEST_2,3,Sweet 16,MIDWEST,Virginia,Kentucky,0.22508613265293015,0.7749138673470699,0.7670886075949367,False,0.2329113924050633,Virginia
R3_MIDWEST_2,3,Sweet 16,MIDWEST,Virginia,Santa Clara,0.6292569480314449,0.37074305196855506,0.6559139784946236,False,0.34408602150537637,Virginia
R3_MIDWEST_2,3,Sweet 16,MIDWEST,Virginia,Tennessee St,0.73289270893687,0.26710729106313,0.7096774193548387,False,0.29032258064516125,Virginia
R3_MIDWEST_2,3,Sweet 16,MIDWEST,Wright St,Iowa State,0.16929997852514422,0.8307000214748558,1.0,False,0.0,Wright St
