season,team_a,team_b,score_a,score_b,neutral_site,round_name,game_date,home_team,home_edge_a,rest_days_a,rest_days_b,market_prob_a,market_spread_a,moneyline_a,moneyline_b
2024,Indiana St,St Mary's,90,60,0,Regular Season,2023-11-07,Indiana St,1,,,,,,
2024,Murray St,Midway,91,58,0,Regular Season,2023-11-07,Murray St,1,,,,,,
2024,Valparaiso,Trinity (IL),100,61,0,Regular Season,2023-11-07,Valparaiso,1,,,,,,
2024,Tennessee St,Fisk,76,61,0,Regular Season,2023-11-07,Tennessee St,1,,,,,,
2024,Bucknell,Delaware,57,78,0,Regular Season,2023-11-07,Bucknell,1,,,,,,
2024,Arkansas,Alcorn St,93,59,0,Regular Season,2023-11-07,Arkansas,1,,,,,,
2024,Missouri,AR-Pine Bluff,101,79,0,Regular Season,2023-11-07,Missouri,1,,,,,,
2024,Ole Miss,Alabama St,69,59,0,Regular Season,2023-11-07,Ole Miss,1,,,,,,
2024,Chattanooga,Covenant,89,44,0,Regular Season,2023-11-07,Chattanooga,1,,,,,,
2024,Wofford,Brevard,85,68,0,Regular Season,2023-11-07,Wofford,1,,,,,,
2024,UT Arlington,Oral Roberts,75,71,0,Regular Season,2023-11-07,UT Arlington,1,,,,,,
2024,Georgia Tech,GA Southern,84,62,0,Regular Season,2023-11-07,Georgia Tech,1,,,,,,
2024,CA Baptist,San Fran St,74,57,0,Regular Season,2023-11-07,CA Baptist,1,,,,,,
2024,Colorado St,Louisiana Tech,81,73,0,Regular Season,2023-11-07,Colorado St,1,,,,,,
2024,Campbell,Navy,59,48,0,Regular Season,2023-11-07,Campbell,1,,,,,,
2024,SE Louisiana,Delta St,90,71,0,Regular Season,2023-11-07,SE Louisiana,1,,,,,,
2024,S Illinois,Kentucky St,88,57,0,Regular Season,2023-11-07,S Illinois,1,,,,,,
2024,Utah State,SD Mines,101,48,0,Regular Season,2023-11-07,Utah State,1,,,,,,
2024,Southern Miss,William Carey,64,42,0,Regular Season,2023-11-07,Southern Miss,1,,,,,,
2024,Jax State,Brescia,91,41,0,Regular Season,2023-11-07,Jax State,1,,,,,,
2024,Davidson,Wash and Lee,86,63,0,Regular Season,2023-11-07,Davidson,1,,,,,,
2024,Austin Peay,Life Univ,90,72,0,Regular Season,2023-11-07,Austin Peay,1,,,,,,
2024,Charleston So,Toccoa Falls,94,59,0,Regular Season,2023-11-07,Charleston So,1,,,,,,
2024,High Point,St. Andrews,105,51,0,Regular Season,2023-11-07,High Point,1,,,,,,
2024,Kent State,Malone,79,58,0,Regular Season,2023-11-07,Kent State,1,,,,,,
2024,San Diego St,Fullerton,83,57,0,Regular Season,2023-11-07,San Diego St,1,,,,,,
2024,Mercer,Clark Atl,64,71,0,Regular Season,2023-11-07,Mercer,1,,,,,,
2024,Little Rock,Texas St,71,66,0,Regular Season,2023-11-07,Little Rock,1,,,,,,
2024,Saint Mary's,Stanislaus St,107,28,0,Regular Season,2023-11-07,Saint Mary's,1,,,,,,
2024,San Francisco,Bethesda,128,59,0,Regular Season,2023-11-07,San Francisco,1,,,,,,
2024,Fresno St,Fresno Pacific,77,66,0,Regular Season,2023-11-07,Fresno St,1,,,,,,
2024,Lehigh,Cornell,78,84,0,Regular Season,2023-11-07,Lehigh,1,,,,,,
2024,Saint Louis,So Indiana,75,63,0,Regular Season,2023-11-07,Saint Louis,1,,,,,,
2024,Bryant,Manhattan,59,61,0,Regular Season,2023-11-07,Bryant,1,,,,,,
2024,Milwaukee,UW Stout,91,73,0,Regular Season,2023-11-07,Milwaukee,1,,,,,,
2024,Western KY,KY Wesleyn,90,64,0,Regular Season,2023-11-07,Western KY,1,,,,,,
2024,Furman,N Greenville,84,68,0,Regular Season,2023-11-07,Furman,1,,,,,,
2024,Jacksonville,JohnsonFL,113,46,0,Regular Season,2023-11-07,Jacksonville,1,,,,,,
2024,Bakersfield,Southern Utah,73,72,0,Regular Season,2023-11-07,Bakersfield,1,,,,,,
2024,South Dakota,Mount Marty,85,53,0,Regular Season,2023-11-07,South Dakota,1,,,,,,
2024,Oklahoma St,Abilene Chrstn,59,64,0,Regular Season,2023-11-07,Oklahoma St,1,,,,,,
